"Address","Tags"
"Республика Мордовия, Район Атюрьевский Село Атюрьево Улица Советская д. 14/2","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_name', 'house_type', 'house_number']"
"Респ Мордовия, Зубово-Полянский р-н, рп Умет, Зубово-Полянский р-нр.п.Умет ул. Новостроящая д. 13А","['subject_type', 'subject_name', 'area_name', 'area_type', 'settlement_type', 'settlement_name', 'not_address', 'not_address', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Город Саранск, ул Первомайская, д. 85","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ардатовский Село Чукалы Улица Молодежная д. 9","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ковылкинский Деревня Керетино д. 116","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ичалковский Село Ичалки Улица Первомайская д. 13","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Волгоградская, д. 88","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Большеберезниковский Село Николаевка Улица Центральная д. 2","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Город Саранск, ул Ленина, д. 96","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, пр-кт 70 лет Октября, д. 110а","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, пр-кт 50 лет Октября, д. 17б","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Промышленная 2-я, д. 38","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Лихачева, д. 34а","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Россия, Республика Мордовия, Саранск, проспект Российской Армии, д. 14А","['country', 'subject_type', 'subject_name', 'city_name', 'street_type', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Темниковский Город Темников Улица Крестьянская д. 21А","['subject_type', 'subject_name', 'area_type', 'area_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, рп Луховка, ул Красная, д. 9/2","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Теньгушевский Село Теньгушево Улица Новая д. 39","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Рабочий Поселок Тургенево, ул Школьная, д. 2","['subject_type', 'subject_name', 'settlement_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Деревня Лопатино, пос Новоликаловский ул Первомайская, д. 13","['subject_type', 'subject_name', 'settlement_type', 'settlement_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Ардатовский р-н, рп Тургенево, ул Заводская, д. 38А","['subject_type', 'subject_name', 'area_name', 'area_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Рузаевка, пл Привокзальная, д. 7а","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Воинова, д. 28","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, рп Луховка, ул Рабочая, д. 15Б","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, п Озерный, снт Озерный-1, д. 302","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Ярославская, д. 21/2","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Федосеенко, д. 6а","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Рузаевка, пер Фабричный, д. 3А","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Промышленная 1-я, д. 29","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Атяшевский Село Лобаски Улица Ленина д. 36","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Поселок Шайгуши, ул Советская, д. 15","['subject_type', 'subject_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Победы, д. 23А","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Зубово-Полянский Рабочий поселок Зубова Поляна Улица Прохорова д. 4","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, пр-кт 60 лет Октября, д. 8","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Рузаевский Село Архангельское Голицыно Улица Советская д. 13","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Промышленная 1-я, д. б/н","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Гагарина, д. 18а","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Село Жабино, ул Нижняя, д. 121","['subject_type', 'subject_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Волгоградская, д. 84","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ельниковский Село Большие Мордовские Пошаты Улица Советская д. 4","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Лямбирский, Село Черемишево, ул Долгая, д. 26/1","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Зубово-Полянский Рабочий поселок Зубова Поляна Улица Белинского д. 20 к. стр. кв.","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number', 'not_address', 'not_address', 'not_address']"
"Республика Мордовия, г Саранск, ул Косарева, д. 3/2","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Лямбирский Село Лямбирь Улица Молодежная","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name']"
"Республика Мордовия, Район Торбеевский Село Лопатино Улица Центральная д. 66","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Лямбирский Деревня Блохино Улица Заречная д. 1г","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Ковылкино, ул Фролова, д. 3А","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, п Озерный, снт Озерный-1, д. 151","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ардатовский Село Чукалы Улица Советская д. 84","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Ардатовский р-н, рп Тургенево, ул Молодежная, д. 6","['subject_type', 'subject_name', 'area_name', 'area_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Степана Разина, д. 19","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Победы, д. 24/2","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Село Татарский Шебдас, ул Рабочая, д. 10","['subject_type', 'subject_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Город Саранск, ПОРОХОХРАНИЛИЩЕ, д. 1","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Инсарский Село Кириклеевский Майдан Улица Садовая д. 1","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Саранск р-н, г Саранск, ул Б.Хмельницкого, д. 53 а","['subject_type', 'subject_name', 'area_name', 'area_type', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number', 'house_number']"
"Республика Мордовия, Деревня Новое Заберезово, ул Заречная, д. 29","['subject_type', 'subject_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Сущинского, д. 2","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Атяшевский Деревня Старое Баево Улица Колхозная д. 17","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Лямбирский Деревня Хаджи Улица Малая д. 48а","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Энгельса, д. 15/2","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Инсарский р-н, г Инсар, ул Циолковского, д. 80","['subject_type', 'subject_name', 'area_name', 'area_type', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Торбеевский Село Салазгорь Улица Комсомольская д. 6а","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, пер Дачный, д. 9","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Россия, Республика Мордовия, Саранск, Лямбирское шоссе, д. 14","['country', 'subject_type', 'subject_name', 'city_name', 'street_name', 'street_type', 'house_type', 'house_number']"
"Республика Мордовия, Район Темниковский Деревня Козловка Улица Лесная д. 23","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, рп Ялга, ул Школа-интернат, д. 2","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Рузаевка, ул Ленина, д. 42","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия Город Рузаевка Улица Петрова д. 2Б","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Северная, д. 3А","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Темниковский Деревня Алексеевка Улица Центральная д. 35","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Атяшевский Село Мордовские Сыреси Улица Октябрьская д. 56","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия Город Саранск Улица Фурманова д. 74","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Краснослободский Деревня Русские Полянки Улица Примокшанская д. 42А","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Советская, д. 39","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Мордовия Респ, р-н. Атяшевский, с. Ушаковка, ул. Горюнова, д. 63","['subject_name', 'subject_type', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Ардатовский р-н, рп Тургенево, ул Школьная, д. 5а","['subject_type', 'subject_name', 'area_name', 'area_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, п Озерный, снт СНТ Озерное, д. 1262/301А","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'not_address', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Чамзинский Село Киржеманы Улица К.Маркса д. 37","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Атяшевский Рабочий поселок Атяшево Улица Комсомольская д. 52","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Темниковский Деревня Польское Ардашево Улица Рабочая д. 18","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Мордовия Респ, Лямбирский р-н, с. Лямбирь, Шоссейная, д. 38","['subject_name', 'subject_type', 'area_name', 'area_type', 'settlement_type', 'settlement_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Зубово-Полянский Рабочий поселок Умет Улица Южная д. 1","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ардатовский Город Ардатов Улица Восточная д. 28 кв. ПОМ 1","['subject_type', 'subject_name', 'area_type', 'area_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number', 'not_address', 'not_address', 'not_address']"
"Республика Мордовия, г Саранск, ул Студенческая, д. 17в","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, пр-кт 50 лет Октября, д. 7","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Рабочий Поселок Комсомольский,","['subject_type', 'subject_name', 'settlement_type', 'settlement_type', 'settlement_name']"
"Республика Мордовия, Район Ардатовский Село Чукалы Улица Советская д. 114","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Пролетарская, д. 63","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Победы, д. 22/1","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Саранск р-н, г Саранск, пр-кт 70 лет Октября, д. 87","['subject_type', 'subject_name', 'area_name', 'area_type', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Торбеевский Рабочий поселок Торбеево Улица Первомайская д. 10а","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ковылкинский Село Сутягино Улица Озерная д. 54","['subject_type', 'subject_name', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, п Озерный, снт СНТ Озерное, д. 764/261","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'not_address', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Мордовия Респ, г. Саранск, с. Куликовка, ул. Чапаева, д. 24","['subject_name', 'subject_type', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Рузаевка, ул Менделеева, д. 6","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, пр-кт 50 лет Октября, д. 39А","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'street_name', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия Город Саранск Улица Краснофлотская д. 23 кв. ком. 2","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number', 'not_address', 'not_address', 'not_address']"
"Республика Мордовия, г Саранск, ул Большевистская, д. 13","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, снт Охотник, д. 383","['subject_type', 'subject_name', 'city_type', 'city_name', 'settlement_type', 'settlement_name', 'house_type', 'house_number']"
"Республика Мордовия, г Саранск, ул Лодыгина, д. 2","['subject_type', 'subject_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Район Ардатовский Город Ардатов Улица Полевая д. 86","['subject_type', 'subject_name', 'area_type', 'area_name', 'city_type', 'city_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Республика Мордовия, Село Вадовские Селищи, ул Лесная, д. 12","['subject_type', 'subject_name', 'settlement_type', 'settlement_name', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
"Мордовия Респ, р-н. Чамзинский, с. Киржеманы, ул. Ленина, д. 24","['subject_name', 'subject_type', 'area_type', 'area_name', 'settlement_type', 'settlement_name', 'street_type', 'street_name', 'house_type', 'house_number']"
